Role,Business_Type,City_Tier,Revenue,Purchase_Frequency,Packaging_Types,Decision_Method,Data_Tracked,Dashboard_Comfort,Challenges,Issue_Frequency,Monthly_Loss,Failure_Rate,Preferences,Priority,Triggers,Packaging_Spend,Packaging_Cost_Percent,Cost_Sensitivity,Decision_Maker,Features_Needed,Willingness_to_Pay,Interest
Operations,FMCG,Tier3,5L-20L,Daily,"Paper, Glass",No Process,"Failures, Cost",Medium,"Wastage, Breakage",Daily,20K-1L,High,"Paper, Biodegradable",Quality,Complaints,10K-50K,10-20%,High,Multiple,"Sustainability, Supplier Analytics, Cost Dashboard",Very Likely,Yes
Owner,Manufacturer,Tier2,5L-20L,Bulk,"Flexible, Biodegradable",Excel,Supplier,Medium,"Breakage, Supplier Issues, High Cost",Daily,20K-1L,Medium,"Paper, Biodegradable",Sustainability,"Regulation, Sustainability, Supplier Issues",10K-50K,5-10%,Medium,Owner,Forecasting,Likely,No
Operations,Cloud Kitchen,Tier1,<5L,Weekly,"Glass, Flexible",Experience,"Failures, Inventory, Cost",High,High Cost,Weekly,5K-20K,Medium,"Recyclable, Paper",Sustainability,Supplier Issues,<10K,5-10%,Medium,Owner,"Sustainability, Performance, Forecasting",Not Sure,Maybe
Finance,Manufacturer,Tier1,20L-1Cr,Weekly,Flexible,No Process,Supplier,High,Wastage,Monthly,<5K,,"Premium, Plastic, Paper",Quality,Regulation,2L-10L,20-30%,Medium,Multiple,Sustainability,Very Likely,Yes
Operations,Manufacturer,Tier1,<5L,Bulk,Glass,ERP,,Low,"Breakage, High Cost",Monthly,5K-20K,High,Paper,Quality,"Complaints, Sustainability",<10K,30%+,Medium,Finance,"Forecasting, Cost Dashboard",Likely,No
Owner,Restaurant,Tier1,<5L,Bulk,"Plastic, Biodegradable",No Process,Inventory,Medium,Storage,Weekly,5K-20K,Low,"Plastic, Biodegradable",Quality,Complaints,<10K,<5%,Low,Multiple,Cost Dashboard,Likely,Maybe
Owner,Cloud Kitchen,Tier3,20L-1Cr,Daily,"Flexible, Glass, Paper",Experience,"Supplier, Inventory",Medium,"High Cost, Breakage",Weekly,5K-20K,,"Paper, Biodegradable, Recyclable",Quality,Complaints,2L-10L,20-30%,Low,Multiple,Performance,Likely,No
Owner,Restaurant,Tier2,5L-20L,Daily,"Glass, Paper, Flexible",ERP,"Supplier, Failures, Inventory",High,"Breakage, Supplier Issues, Wastage",Weekly,5K-20K,High,"Paper, Biodegradable",Sustainability,Complaints,50K-2L,20-30%,High,Owner,Sustainability,Likely,Maybe
Procurement,FMCG,Tier1,<5L,Daily,"Plastic, Biodegradable, Glass",No Process,"Cost, Inventory",High,Sustainability,Monthly,<5K,Medium,"Recyclable, Biodegradable, Paper",Cost,"Cost Increase, Regulation, Complaints",<10K,<5%,High,Finance,"Sustainability, Cost Dashboard",Likely,No
Operations,Restaurant,Tier3,<5L,Bulk,"Paper, Flexible",Vendor,"Supplier, Inventory",High,Breakage,Monthly,<5K,High,"Paper, Plastic, Recyclable",Quality,"Regulation, Sustainability, Cost Increase",<10K,20-30%,Medium,Owner,"Sustainability, Cost Dashboard",Unlikely,Maybe
Owner,Cloud Kitchen,Tier2,5L-20L,Monthly,"Glass, Biodegradable",No Process,Failures,Medium,Wastage,Weekly,20K-1L,Low,Paper,Sustainability,"Cost Increase, Sustainability",10K-50K,20-30%,High,Operations,"Cost Dashboard, Forecasting, Sustainability",Likely,Yes
Procurement,Restaurant,Tier1,<5L,Daily,"Biodegradable, Plastic, Paper",No Process,Failures,Medium,"Wastage, Breakage",Weekly,20K-1L,Low,Plastic,Cost,"Sustainability, Complaints",<10K,5-10%,High,Finance,"Performance, Cost Dashboard",Very Likely,Maybe
Owner,Cloud Kitchen,Tier1,5L-20L,Monthly,"Plastic, Flexible",Vendor,,Low,"Storage, Wastage, Supplier Issues",Monthly,5K-20K,Low,"Plastic, Premium, Paper",Cost,Sustainability,10K-50K,10-20%,High,Multiple,Cost Dashboard,Not Sure,Maybe
Owner,FMCG,Tier1,5L-20L,Daily,"Paper, Flexible, Biodegradable",No Process,Cost,Medium,"Breakage, High Cost",Monthly,<5K,High,Paper,Branding,"Regulation, Cost Increase",50K-2L,20-30%,High,Operations,Sustainability,Likely,No
Procurement,Cloud Kitchen,Tier2,20L-1Cr,Monthly,Flexible,No Process,Inventory,High,"Breakage, Storage",Weekly,20K-1L,Medium,"Premium, Recyclable",Quality,"Complaints, Supplier Issues, Regulation",50K-2L,10-20%,High,Operations,"Performance, Cost Dashboard, Sustainability",Likely,Yes
Owner,FMCG,Tier2,5L-20L,Monthly,"Flexible, Paper, Plastic",ERP,Inventory,High,"Storage, Breakage, Sustainability",Weekly,20K-1L,High,Paper,Branding,Regulation,10K-50K,10-20%,Medium,Multiple,"Sustainability, Forecasting",Very Likely,Maybe
Operations,Restaurant,Tier1,1Cr+,Daily,"Plastic, Biodegradable",Vendor,Failures,High,"Breakage, Wastage, High Cost",Daily,1L+,Low,"Biodegradable, Recyclable, Premium",Cost,Regulation,2L-10L,5-10%,High,Operations,"Sustainability, Forecasting",Very Likely,Yes
Owner,Cloud Kitchen,Tier1,20L-1Cr,Weekly,Flexible,Experience,,Low,Sustainability,Weekly,20K-1L,Medium,"Paper, Plastic, Premium",Quality,"Regulation, Sustainability",2L-10L,5-10%,Medium,Owner,"Supplier Analytics, Cost Dashboard",Very Likely,Maybe
Operations,Restaurant,Tier3,5L-20L,Daily,Biodegradable,Excel,,Low,"High Cost, Wastage, Sustainability",Weekly,5K-20K,High,"Premium, Recyclable",Sustainability,"Cost Increase, Supplier Issues, Regulation",10K-50K,10-20%,Medium,Multiple,Forecasting,Likely,Maybe
Operations,Restaurant,Tier1,<5L,Weekly,"Paper, Biodegradable",No Process,,Medium,"Supplier Issues, Wastage, High Cost",Daily,1L+,High,Premium,Quality,"Sustainability, Complaints",<10K,5-10%,High,Multiple,"Performance, Sustainability",Likely,Yes
Procurement,FMCG,Tier2,1Cr+,Bulk,Flexible,Vendor,,Medium,"Wastage, Storage",Weekly,20K-1L,Medium,"Plastic, Biodegradable, Premium",Sustainability,Cost Increase,2L-10L,5-10%,High,Multiple,Supplier Analytics,Very Likely,Yes
Operations,Restaurant,Tier1,1Cr+,Bulk,"Plastic, Glass",ERP,Supplier,Medium,"Supplier Issues, Breakage",Monthly,<5K,High,"Recyclable, Premium, Paper",Cost,"Complaints, Supplier Issues",2L-10L,30%+,High,Owner,"Cost Dashboard, Supplier Analytics",Likely,Maybe
Owner,FMCG,Tier1,20L-1Cr,Bulk,"Paper, Flexible, Biodegradable",Excel,"Supplier, Cost, Failures",Medium,"Breakage, Wastage, High Cost",Daily,20K-1L,Medium,"Recyclable, Premium, Biodegradable",Quality,"Regulation, Supplier Issues, Sustainability",50K-2L,<5%,Medium,Operations,Sustainability,Very Likely,Maybe
Procurement,FMCG,Tier1,5L-20L,Weekly,"Paper, Plastic, Biodegradable",No Process,Supplier,High,Storage,Monthly,5K-20K,Low,"Biodegradable, Recyclable",Quality,"Regulation, Sustainability, Cost Increase",10K-50K,<5%,Medium,Finance,Sustainability,Likely,Maybe
Procurement,Cloud Kitchen,Tier1,5L-20L,Bulk,Plastic,Vendor,"Failures, Cost, Inventory",Medium,"Sustainability, Wastage",Monthly,<5K,Medium,"Plastic, Paper, Premium",Branding,Supplier Issues,50K-2L,10-20%,High,Owner,"Cost Dashboard, Performance",Unlikely,Maybe
Owner,Restaurant,Tier3,<5L,Daily,"Biodegradable, Flexible",No Process,Supplier,Medium,Breakage,Weekly,20K-1L,Low,Recyclable,Quality,"Cost Increase, Supplier Issues",<10K,10-20%,High,Operations,Forecasting,Likely,Yes
Finance,FMCG,Tier1,5L-20L,Bulk,"Flexible, Glass, Plastic",ERP,Cost,High,Supplier Issues,Weekly,5K-20K,High,Recyclable,Cost,Regulation,50K-2L,5-10%,High,Operations,"Supplier Analytics, Sustainability",Unlikely,Maybe
Operations,FMCG,Tier1,20L-1Cr,Bulk,Glass,Experience,"Inventory, Failures, Cost",High,"Breakage, Storage, Sustainability",Weekly,20K-1L,Low,"Plastic, Premium",Branding,"Cost Increase, Supplier Issues, Complaints",50K-2L,5-10%,Medium,Finance,Sustainability,Likely,No
Finance,Restaurant,Tier2,5L-20L,Bulk,Glass,No Process,"Inventory, Supplier, Cost",High,"Wastage, Supplier Issues, Storage",Rare,<5K,Medium,"Recyclable, Paper, Plastic",Quality,Cost Increase,10K-50K,5-10%,Medium,Operations,"Cost Dashboard, Supplier Analytics, Performance",Not Sure,Maybe
Owner,Cloud Kitchen,Tier1,5L-20L,Monthly,"Flexible, Biodegradable, Plastic",Vendor,"Failures, Cost",Medium,"Storage, Sustainability",Monthly,5K-20K,High,"Premium, Paper",Sustainability,"Supplier Issues, Sustainability",10K-50K,<5%,Low,Owner,"Forecasting, Cost Dashboard",Not Sure,Maybe
Owner,Manufacturer,Tier1,20L-1Cr,Daily,"Plastic, Glass, Flexible",No Process,"Supplier, Failures",Medium,Wastage,Monthly,<5K,High,"Premium, Plastic",Cost,"Regulation, Supplier Issues, Sustainability",2L-10L,20-30%,Low,Owner,"Forecasting, Sustainability, Supplier Analytics",Very Likely,Maybe
Owner,Cloud Kitchen,Tier1,20L-1Cr,Weekly,"Plastic, Paper",Experience,"Inventory, Supplier",Medium,Sustainability,Monthly,<5K,,"Premium, Plastic",Branding,Supplier Issues,50K-2L,5-10%,Medium,Owner,Cost Dashboard,Not Sure,Maybe
Owner,Restaurant,Tier1,5L-20L,Weekly,"Biodegradable, Paper, Glass",No Process,"Failures, Inventory",Medium,"Breakage, Wastage, Sustainability",Daily,20K-1L,Medium,Plastic,Branding,Sustainability,10K-50K,<5%,High,Finance,"Cost Dashboard, Sustainability",Likely,Maybe
Owner,Cloud Kitchen,Tier1,5L-20L,Monthly,"Flexible, Glass, Plastic",Vendor,Cost,High,High Cost,Monthly,<5K,Low,"Plastic, Premium, Paper",Quality,"Sustainability, Cost Increase",10K-50K,20-30%,High,Finance,"Forecasting, Performance",Unlikely,Maybe
Finance,Restaurant,Tier1,20L-1Cr,Bulk,"Plastic, Flexible, Paper",Vendor,"Failures, Cost",High,Sustainability,Monthly,<5K,High,Biodegradable,Branding,"Supplier Issues, Sustainability, Regulation",2L-10L,20-30%,Medium,Finance,"Sustainability, Forecasting",Very Likely,Yes
Operations,Restaurant,Tier2,20L-1Cr,Daily,"Flexible, Plastic, Glass",Experience,"Failures, Supplier, Inventory",Medium,Sustainability,Monthly,<5K,Medium,Recyclable,Cost,"Sustainability, Complaints",50K-2L,5-10%,Medium,Operations,"Forecasting, Sustainability",Likely,No
Owner,Restaurant,Tier2,5L-20L,Monthly,"Plastic, Glass, Flexible",Vendor,"Supplier, Cost",Medium,"Breakage, Wastage",Weekly,20K-1L,High,"Paper, Biodegradable",Quality,Complaints,50K-2L,20-30%,Medium,Finance,"Performance, Forecasting, Cost Dashboard",Very Likely,Yes
Operations,Supplier,Tier1,<5L,Monthly,"Paper, Glass",Vendor,Failures,High,"Storage, High Cost",Daily,20K-1L,,"Plastic, Recyclable, Premium",Cost,"Sustainability, Cost Increase",<10K,5-10%,Low,Finance,"Performance, Supplier Analytics, Sustainability",Likely,Maybe
Procurement,Cloud Kitchen,Tier2,20L-1Cr,Daily,"Plastic, Flexible",Vendor,"Failures, Supplier",Medium,"Sustainability, Wastage, Storage",Rare,<5K,,"Paper, Biodegradable",Quality,"Cost Increase, Supplier Issues",50K-2L,30%+,High,Finance,Forecasting,Not Sure,No
Operations,Restaurant,Tier2,20L-1Cr,Monthly,"Paper, Glass",No Process,Failures,High,"Wastage, Supplier Issues",Weekly,5K-20K,Medium,Biodegradable,Quality,Cost Increase,50K-2L,5-10%,Medium,Finance,"Sustainability, Forecasting",Unlikely,No
Finance,Manufacturer,Tier1,<5L,Bulk,Paper,Excel,"Cost, Supplier, Failures",Medium,"Wastage, Supplier Issues, Storage",Daily,1L+,Low,Paper,Cost,Cost Increase,<10K,5-10%,Medium,Multiple,Performance,Likely,No
Owner,FMCG,Tier2,<5L,Monthly,"Glass, Flexible",Experience,,Low,"Sustainability, Storage, High Cost",Monthly,<5K,Medium,"Biodegradable, Plastic",Sustainability,"Supplier Issues, Complaints",<10K,5-10%,High,Operations,"Supplier Analytics, Sustainability",Likely,No
Operations,Manufacturer,Tier3,5L-20L,Bulk,"Glass, Flexible",No Process,"Cost, Inventory, Supplier",Medium,Sustainability,Weekly,5K-20K,High,"Paper, Recyclable",Cost,"Cost Increase, Complaints",10K-50K,10-20%,High,Owner,Supplier Analytics,Unlikely,Maybe
Operations,Restaurant,Tier1,20L-1Cr,Weekly,Glass,No Process,,Medium,"Sustainability, High Cost",Daily,20K-1L,Low,"Paper, Biodegradable, Premium",Quality,"Complaints, Regulation",2L-10L,10-20%,High,Multiple,Cost Dashboard,Very Likely,Yes
Operations,Supplier,Tier2,5L-20L,Weekly,"Plastic, Biodegradable",Experience,"Inventory, Supplier",Medium,Breakage,Monthly,<5K,Medium,"Plastic, Paper, Recyclable",Sustainability,"Complaints, Supplier Issues",10K-50K,<5%,High,Operations,"Sustainability, Supplier Analytics, Forecasting",Not Sure,Maybe
Owner,Cloud Kitchen,Tier1,<5L,Weekly,"Paper, Biodegradable, Glass",Experience,"Supplier, Cost, Inventory",High,"Storage, High Cost",Monthly,<5K,Medium,"Premium, Paper",Quality,"Regulation, Sustainability",<10K,20-30%,Low,Operations,"Cost Dashboard, Forecasting",Unlikely,Maybe
Owner,Cloud Kitchen,Tier1,1Cr+,Weekly,"Biodegradable, Glass",Vendor,Supplier,Medium,"Sustainability, Breakage, Supplier Issues",Daily,20K-1L,Medium,Recyclable,Quality,Sustainability,10L+,10-20%,Low,Finance,Supplier Analytics,Likely,Maybe
Owner,FMCG,Tier1,5L-20L,Bulk,Flexible,Vendor,"Cost, Failures",Medium,Wastage,Daily,20K-1L,High,Plastic,Branding,Regulation,10K-50K,20-30%,Medium,Owner,Cost Dashboard,Very Likely,Yes
Operations,Manufacturer,Tier2,20L-1Cr,Bulk,"Glass, Plastic",Vendor,,Medium,"High Cost, Supplier Issues",Daily,1L+,Medium,"Premium, Biodegradable",Sustainability,"Complaints, Supplier Issues",50K-2L,10-20%,High,Finance,"Cost Dashboard, Supplier Analytics, Sustainability",Likely,Yes
Operations,Manufacturer,Tier2,20L-1Cr,Weekly,"Glass, Biodegradable",Vendor,,Low,Breakage,Weekly,5K-20K,Low,"Biodegradable, Paper",Branding,"Cost Increase, Sustainability, Supplier Issues",2L-10L,10-20%,High,Finance,Forecasting,Likely,Maybe
Owner,FMCG,Tier1,<5L,Monthly,Biodegradable,Experience,"Cost, Failures",High,"High Cost, Wastage, Storage",Weekly,5K-20K,Medium,"Plastic, Recyclable",Sustainability,Supplier Issues,<10K,5-10%,High,Multiple,"Performance, Supplier Analytics",Unlikely,Maybe
Procurement,Restaurant,Tier1,5L-20L,Monthly,"Glass, Paper",Experience,,Medium,"Supplier Issues, Sustainability",Weekly,5K-20K,Medium,"Biodegradable, Premium",Quality,"Supplier Issues, Sustainability",10K-50K,20-30%,Medium,Finance,"Supplier Analytics, Cost Dashboard, Performance",Unlikely,Maybe
Operations,FMCG,Tier1,1Cr+,Daily,"Plastic, Paper",Experience,"Failures, Cost",High,"Storage, Breakage",Daily,1L+,Low,"Recyclable, Paper, Plastic",Sustainability,"Supplier Issues, Complaints, Regulation",10L+,5-10%,High,Multiple,"Performance, Forecasting",Very Likely,Yes
Operations,Manufacturer,Tier2,20L-1Cr,Daily,"Glass, Plastic, Biodegradable",ERP,"Supplier, Failures",Medium,"Sustainability, Storage, Supplier Issues",Weekly,5K-20K,Low,"Premium, Biodegradable",Sustainability,Supplier Issues,50K-2L,5-10%,High,Owner,"Sustainability, Cost Dashboard, Supplier Analytics",Not Sure,No
Owner,Cloud Kitchen,Tier2,<5L,Bulk,"Plastic, Biodegradable, Glass",Experience,Inventory,Medium,"High Cost, Storage, Breakage",Daily,20K-1L,Low,"Biodegradable, Plastic",Sustainability,"Complaints, Cost Increase, Supplier Issues",<10K,10-20%,High,Multiple,Cost Dashboard,Very Likely,Maybe
Operations,Restaurant,Tier1,20L-1Cr,Daily,Flexible,Excel,"Inventory, Cost, Failures",Medium,"Supplier Issues, Breakage",Weekly,5K-20K,Medium,"Paper, Plastic, Premium",Sustainability,"Supplier Issues, Complaints",50K-2L,<5%,High,Finance,"Sustainability, Supplier Analytics",Likely,No
Owner,Restaurant,Tier3,20L-1Cr,Bulk,Biodegradable,Excel,Cost,High,"Sustainability, Storage",Monthly,<5K,Medium,Biodegradable,Quality,Cost Increase,50K-2L,5-10%,Low,Operations,"Supplier Analytics, Performance",Likely,Maybe
Owner,Cloud Kitchen,Tier3,<5L,Bulk,"Flexible, Paper",ERP,"Cost, Failures, Inventory",Medium,"High Cost, Breakage, Storage",Monthly,<5K,Medium,Premium,Sustainability,"Complaints, Supplier Issues",<10K,5-10%,Low,Multiple,Supplier Analytics,Not Sure,Maybe
Owner,FMCG,Tier2,1Cr+,Daily,Biodegradable,Excel,Failures,High,Breakage,Daily,1L+,High,"Premium, Plastic",Sustainability,"Cost Increase, Complaints, Supplier Issues",2L-10L,5-10%,Low,Multiple,"Forecasting, Performance, Supplier Analytics",Very Likely,Yes
Procurement,Restaurant,Tier1,20L-1Cr,Bulk,"Biodegradable, Plastic",ERP,Failures,High,"Breakage, Supplier Issues",Rare,<5K,Medium,"Paper, Premium",Quality,"Complaints, Regulation",50K-2L,5-10%,High,Owner,Supplier Analytics,Not Sure,Maybe
Finance,Restaurant,Tier1,20L-1Cr,Monthly,"Paper, Glass",No Process,"Failures, Cost",High,Wastage,Weekly,20K-1L,High,Premium,Cost,Complaints,2L-10L,5-10%,Low,Operations,"Forecasting, Cost Dashboard",Very Likely,Yes
Procurement,Manufacturer,Tier1,20L-1Cr,Monthly,Biodegradable,Vendor,"Supplier, Cost",Medium,Sustainability,Weekly,20K-1L,Low,"Biodegradable, Premium",Cost,"Regulation, Complaints",2L-10L,20-30%,High,Owner,"Sustainability, Performance, Forecasting",Likely,Yes
Finance,FMCG,Tier1,20L-1Cr,Weekly,"Paper, Plastic",ERP,"Supplier, Inventory",Medium,"Sustainability, Storage, High Cost",Weekly,5K-20K,High,Plastic,Branding,Complaints,50K-2L,30%+,Medium,Multiple,"Cost Dashboard, Sustainability, Forecasting",Likely,Maybe
Owner,Cloud Kitchen,Tier1,20L-1Cr,Weekly,"Biodegradable, Paper, Flexible",ERP,"Supplier, Cost",Medium,"Supplier Issues, Storage",Monthly,5K-20K,High,"Paper, Premium, Recyclable",Quality,"Supplier Issues, Cost Increase, Sustainability",50K-2L,<5%,High,Owner,Supplier Analytics,Likely,Maybe
Procurement,Restaurant,Tier1,20L-1Cr,Daily,"Glass, Biodegradable",ERP,Inventory,High,"Storage, Breakage, Wastage",Weekly,20K-1L,Low,"Paper, Biodegradable, Recyclable",Cost,Complaints,50K-2L,20-30%,High,Operations,Cost Dashboard,Very Likely,Yes
Procurement,FMCG,Tier3,5L-20L,Daily,Glass,ERP,,Medium,"High Cost, Breakage, Wastage",Weekly,20K-1L,,"Paper, Recyclable",Sustainability,"Regulation, Supplier Issues, Sustainability",10K-50K,<5%,High,Multiple,"Forecasting, Supplier Analytics",Very Likely,Yes
Operations,Cloud Kitchen,Tier1,5L-20L,Bulk,"Biodegradable, Glass",No Process,"Supplier, Inventory, Cost",Medium,"Supplier Issues, Breakage, Wastage",Weekly,20K-1L,Medium,Biodegradable,Branding,Complaints,50K-2L,10-20%,Medium,Multiple,"Sustainability, Forecasting, Performance",Very Likely,Yes
Procurement,Manufacturer,Tier2,<5L,Monthly,Biodegradable,Vendor,"Inventory, Supplier",High,"Wastage, High Cost",Monthly,<5K,High,"Recyclable, Premium",Branding,"Complaints, Supplier Issues, Cost Increase",<10K,10-20%,High,Operations,Performance,Not Sure,No
Operations,Restaurant,Tier1,<5L,Monthly,"Flexible, Plastic, Paper",ERP,,Medium,High Cost,Rare,5K-20K,Medium,"Paper, Recyclable, Premium",Quality,"Supplier Issues, Sustainability, Regulation",<10K,10-20%,High,Finance,"Supplier Analytics, Sustainability, Performance",Unlikely,Maybe
Owner,Restaurant,Tier3,5L-20L,Monthly,"Paper, Plastic",Excel,"Cost, Inventory, Failures",Medium,"Storage, Supplier Issues",Weekly,5K-20K,Medium,Recyclable,Quality,"Cost Increase, Supplier Issues, Regulation",10K-50K,5-10%,Medium,Operations,"Sustainability, Supplier Analytics, Forecasting",Not Sure,Maybe
Owner,Supplier,Tier1,20L-1Cr,Weekly,Glass,ERP,"Inventory, Cost, Failures",Medium,"High Cost, Wastage",Weekly,5K-20K,High,Biodegradable,Cost,Sustainability,2L-10L,10-20%,Low,Multiple,Forecasting,Very Likely,Yes
Finance,FMCG,Tier3,5L-20L,Bulk,Biodegradable,Excel,"Inventory, Cost, Failures",High,"Supplier Issues, High Cost",Weekly,20K-1L,High,"Premium, Paper, Plastic",Cost,"Complaints, Regulation, Cost Increase",50K-2L,5-10%,Medium,Operations,"Supplier Analytics, Cost Dashboard, Performance",Likely,Maybe
Procurement,Cloud Kitchen,Tier3,20L-1Cr,Bulk,"Paper, Plastic",ERP,"Failures, Cost",Medium,"Storage, High Cost, Breakage",Daily,1L+,High,"Biodegradable, Plastic",Branding,"Sustainability, Cost Increase, Regulation",50K-2L,10-20%,Medium,Multiple,"Forecasting, Sustainability",Very Likely,Maybe
Finance,Restaurant,Tier2,20L-1Cr,Daily,"Paper, Plastic, Glass",Excel,Inventory,High,Wastage,Rare,<5K,Low,"Recyclable, Plastic",Branding,"Supplier Issues, Cost Increase",50K-2L,20-30%,High,Operations,"Sustainability, Performance",Unlikely,No
Procurement,Cloud Kitchen,Tier1,20L-1Cr,Bulk,Paper,Vendor,Supplier,High,Sustainability,Daily,20K-1L,High,"Plastic, Paper",Cost,Supplier Issues,2L-10L,10-20%,High,Multiple,Cost Dashboard,Very Likely,Yes
Operations,Cloud Kitchen,Tier3,5L-20L,Monthly,"Glass, Flexible, Plastic",ERP,Inventory,High,Wastage,Weekly,20K-1L,High,Plastic,Quality,"Cost Increase, Supplier Issues",10K-50K,5-10%,Medium,Owner,Cost Dashboard,Very Likely,Yes
Owner,FMCG,Tier1,20L-1Cr,Bulk,"Glass, Paper, Flexible",No Process,Cost,Medium,"Sustainability, Supplier Issues",Daily,20K-1L,Low,Paper,Cost,"Regulation, Complaints, Sustainability",50K-2L,20-30%,Low,Multiple,Sustainability,Likely,No
Owner,Cloud Kitchen,Tier2,1Cr+,Weekly,Flexible,ERP,,Medium,Storage,Monthly,5K-20K,Low,"Paper, Recyclable",Branding,Supplier Issues,10L+,10-20%,High,Finance,"Supplier Analytics, Cost Dashboard, Performance",Very Likely,Yes
Procurement,Restaurant,Tier2,20L-1Cr,Weekly,Flexible,ERP,"Inventory, Supplier",High,Supplier Issues,Monthly,<5K,Medium,Plastic,Sustainability,Complaints,2L-10L,20-30%,Medium,Multiple,Performance,Very Likely,Yes
Owner,Cloud Kitchen,Tier1,5L-20L,Monthly,Glass,Experience,"Inventory, Supplier",Medium,High Cost,Monthly,<5K,High,Plastic,Sustainability,Cost Increase,10K-50K,5-10%,High,Operations,Sustainability,Likely,No
Operations,Restaurant,Tier2,5L-20L,Daily,"Glass, Paper, Flexible",Experience,Failures,Medium,Wastage,Weekly,5K-20K,Medium,"Plastic, Premium, Paper",Quality,"Regulation, Complaints",50K-2L,10-20%,Low,Owner,"Sustainability, Forecasting",Likely,Maybe
Operations,FMCG,Tier2,<5L,Weekly,Plastic,Vendor,,Low,"Supplier Issues, Wastage, Storage",Weekly,20K-1L,Medium,"Premium, Biodegradable, Recyclable",Quality,Sustainability,<10K,<5%,High,Multiple,"Cost Dashboard, Sustainability",Very Likely,Yes
Owner,Cloud Kitchen,Tier2,5L-20L,Monthly,"Glass, Plastic",Excel,,Low,"Wastage, Breakage",Monthly,<5K,,"Recyclable, Plastic",Quality,"Cost Increase, Complaints, Supplier Issues",10K-50K,5-10%,High,Finance,"Cost Dashboard, Forecasting",Not Sure,No
Owner,FMCG,Tier3,1Cr+,Daily,"Glass, Flexible, Paper",No Process,,Medium,"High Cost, Breakage, Storage",Weekly,5K-20K,Medium,Plastic,Branding,Supplier Issues,10L+,5-10%,Medium,Multiple,"Sustainability, Performance, Forecasting",Very Likely,Yes
